molecule_chembl_id,standard_value,standard_units
CHEMBL68920,41.0,nM
CHEMBL69960,40.0,nM
CHEMBL304271,0.45,nM
CHEMBL136491,14.0,nM
CHEMBL137364,64.0,nM
CHEMBL302552,22.0,nM
CHEMBL67057,4.5,nM
CHEMBL69629,6.5,nM
CHEMBL69629,40.0,nM
CHEMBL66570,13.0,nM
CHEMBL305194,29.0,nM
CHEMBL52765,44.0,nM
CHEMBL308645,4.7,nM
CHEMBL67003,1.8,nM
CHEMBL134312,11.0,nM
CHEMBL305246,2.8,nM
CHEMBL69966,18.0,nM
CHEMBL69966,40.0,nM
CHEMBL69358,1.2,nM
CHEMBL137617,39.0,nM
CHEMBL69071,5.9,nM
CHEMBL137534,38.0,nM
CHEMBL424093,25.0,nM
CHEMBL264382,1.1,nM
CHEMBL133023,24.0,nM
CHEMBL136674,71.0,nM
CHEMBL138691,4.2,nM
CHEMBL52829,4.0,nM
CHEMBL139307,3.3,nM
CHEMBL111197,30.0,nM
CHEMBL136058,0.81,nM
CHEMBL136058,8.8,nM
CHEMBL136058,8.8,nM
CHEMBL51854,3.8,nM
CHEMBL298931,17.0,nM
CHEMBL545315,1.5,nM
CHEMBL545315,7.4,nM
CHEMBL545315,7.4,nM
CHEMBL52591,4.3,nM
CHEMBL422292,1.5,nM
CHEMBL422292,51.0,nM
CHEMBL417420,2.9,nM
CHEMBL327127,90.0,nM
CHEMBL294475,0.81,nM
CHEMBL294475,3.1,nM
CHEMBL53310,13.0,nM
CHEMBL285063,0.7,nM
CHEMBL285063,2.7,nM
CHEMBL136404,0.5,nM
CHEMBL136404,7.7,nM
CHEMBL334697,0.17,nM
CHEMBL334697,13.0,nM
CHEMBL434827,0.73,nM
CHEMBL434827,21.0,nM
CHEMBL434827,21.0,nM
CHEMBL137082,2.7,nM
CHEMBL53311,82.0,nM
CHEMBL299622,0.76,nM
CHEMBL299622,30.0,nM
CHEMBL138363,1.6,nM
CHEMBL138363,44.0,nM
CHEMBL93464,0.55,nM
CHEMBL93464,8.7,nM
CHEMBL53831,1.5,nM
CHEMBL299881,2.3,nM
CHEMBL31965,74.0,nM
CHEMBL344486,2.7,nM
CHEMBL344486,64.0,nM
CHEMBL138940,0.61,nM
CHEMBL138940,14.0,nM
CHEMBL138940,14.0,nM
CHEMBL53426,0.25,nM
CHEMBL53426,5.1,nM
CHEMBL53711,2.6,nM
CHEMBL53711,12.0,nM
CHEMBL344177,0.69,nM
CHEMBL344177,20.0,nM
CHEMBL136178,1.2,nM
CHEMBL136511,1.4,nM
CHEMBL136511,2.7,nM
CHEMBL416307,3.0,nM
CHEMBL136102,1.45,nM
CHEMBL336264,0.43,nM
CHEMBL53156,3.1,nM
